0,1,2,3,4,5,6,7,8,9
claim,read,learn,medium,friend,colleague,world,discover,news,internet
world,family,willing,discover,friend,view,earth,system,time,day
discover,news,mention,report,tv,claim,radio,reveal,tell,expert
world,internet,discover,news,forum,claim,population,access,report,city
friend,day,average,earth,internet,time,forum,human,spend,study
system,solar,friend,planet,moon,hot,subway,dwarf,wind,forum
internet,forum,day,earth,average,read,moon,spend,planet,solar
read,willing,human,internet,family,colleague,forum,people,wager,grow
read,world,medium,mention,earth,friend,social,day,time,study
earth,large,moon,tree,news,learn,claim,website,discussion,living
view,point,human,grow,earth,size,sleep,car,use,sneeze
human,family,news,body,claim,brain,average,website,read,system
claim,family,website,view,news,car,discussion,point,good,read
car,moon,average,mph,use,mile,medium,month,radio,drive
family,year,medium,sleep,people,social,discover,car,old,news
year,colleague,website,old,sleep,grow,car,friend,discussion,new
year,time,old,grow,family,good,size,planet,new,find
view,willing,point,wager,bet,claim,grow,discover,tall,social
people,news,number,reveal,tooth,sleep,fear,planet,total,different
news,reveal,moon,good,report,year,mention,grow,tell,population
large,grow,reveal,average,brain,number,news,find,report,spend
grow,number,people,fingernail,size,website,business,long,space,banana
car,long,size,planet,drive,earth,record,people,mph,mile
tall,reveal,family,island,tree,tower,friend,mar,colleague,water
good,single,fly,bird,type,baby,cat,sleep,mention,luck
news,mobile,phone,use,bird,colleague,fly,type,common,social
brain,mobile,website,phone,use,mention,fly,body,weight,report
american,news,basketball,time,mar,weight,game,brain,player,water
island,time,tall,country,eye,new,tower,car,type,people
island,mar,water,live,old,number,find,sea,website,believe
water,saturn,drive,eye,time,mph,brain,date,rain,dense
fly,bird,high,instrument,car,american,play,person,musical,population
american,basketball,island,game,letter,player,people,sport,worth,start
take,brain,sun,birth,body,common,weight,banana,second,tower
person,american,eye,single,basketball,birth,discussion,mobile,baby,record
taste,old,number,single,mobile,dog,food,smell,phone,day
website,active,population,eye,tell,person,medium,opinion,discover,instrument
opinion,large,size,water,number,sun,tower,taste,diamond,find
